,temp
364,1
365,2
366,3
367,4
368,5
369,6
370,7
371,8
372,9
373,10
374,11
375,12
376,13
377,14
378,15
379,16
380,17
381,18
382,19
383,20
384,21
385,22
386,23
387,24
388,25
389,26
390,27
391,28
392,29
393,30
394,31
395,32
396,33
397,34
398,35
399,36
400,37
401,38
402,39
403,40
404,41
405,42
406,43
407,44
408,45
409,46
410,47
411,48
412,49
413,50
414,51
415,52
416,53
417,54
418,55
419,56
420,57
421,58
422,59
423,60
424,61
425,62
426,63
427,64
428,65
429,66
430,67
431,68
432,69
433,70
434,71
435,72
436,73
437,74
438,75
439,76
440,77
441,78
442,79
443,80
444,81
445,82
446,83
447,84
448,85
449,86
450,87
451,88
452,89
453,90
454,91
455,92
456,93
457,94
458,95
459,96
460,97
461,98
462,99
463,100
464,101
465,102
466,103
467,104
468,105
469,106
470,107
471,108
472,109
473,110
474,111
475,112
476,113
477,114
478,115
479,116
480,117
481,118
482,119
483,120
484,121
485,122
486,123
487,124
488,125
489,126
490,127
491,128
492,129
493,130
494,131
495,132
496,133
497,134
498,135
499,136
500,137
501,138
502,139
503,140
504,141
505,142
506,143
507,144
508,145
509,146
510,147
511,148
512,149
513,150
514,151
515,152
516,153
517,154
518,155
519,156
520,157
521,158
522,159
523,160
524,161
525,162
526,163
527,164
528,165
529,166
530,167
531,168
532,169
533,170
534,171
535,172
536,173
537,174
538,175
539,176
540,177
541,178
542,179
543,180
544,181
545,182
546,183
547,184
548,185
549,186
550,187
551,188
552,189
553,190
554,191
555,192
556,193
557,194
558,195
559,196
560,197
561,198
562,199
563,200
564,201
565,202
566,203
567,204
568,205
569,206
570,207
571,208
572,209
573,210
574,211
575,212
576,213
577,214
578,215
579,216
580,217
581,218
582,219
583,220
584,221
585,222
586,223
587,224
588,225
589,226
590,227
591,228
592,229
593,230
594,231
595,232
596,233
597,234
598,235
599,236
600,237
601,238
602,239
603,240
604,241
605,242
606,243
607,244
608,245
609,246
610,247
611,248
612,249
613,250
614,251
615,252
616,253
617,254
618,255
619,256
620,257
621,258
622,259
623,260
624,261
625,262
626,263
627,264
628,265
629,266
630,267
631,268
632,269
633,270
634,271
635,272
636,273
637,274
638,275
639,276
640,277
641,278
642,279
643,280
644,281
645,282
646,283
647,284
648,285
649,286
650,287
651,288
652,289
653,290
654,291
655,292
656,293
657,294
658,295
659,296
660,297
661,298
662,299
663,300
664,301
665,302
666,303
667,304
668,305
669,306
670,307
671,308
672,309
673,310
674,311
675,312
676,313
677,314
678,315
679,316
680,317
681,318
682,319
683,320
684,321
685,322
686,323
687,324
688,325
689,326
690,327
691,328
692,329
693,330
694,331
695,332
696,333
697,334
698,335
699,336
700,337
701,338
702,339
703,340
704,341
705,342
706,343
707,344
708,345
709,346
710,347
711,348
712,349
713,350
714,351
715,352
716,353
717,354
718,355
719,356
720,357
721,358
722,359
723,360
724,361
725,362
726,363
727,364
728,365
729,366
